id,name,rfs_year,status,length,ownership_category,big_tech_owners,owners,has_google,has_meta,has_microsoft,has_amazon
bernacchi-1,Bernacchi-1,2027.0,Planned,,telco_consortium,,"Firmus, SUBCO",False,False,False,False
besut-perhentian-islands,Besut-Perhentian Islands,2019.0,In service,21 km,telco_consortium,,Telekom Malaysia,False,False,False,False
bharat-lanka-cable-system,Bharat Lanka Cable System,2006.0,In service,325 km,telco_consortium,,"Bharat Sanchar Nigam Ltd. (BSNL), Sri Lanka Telecom",False,False,False,False
bicentenario,Bicentenario,2011.0,In service,250 km,telco_consortium,,"Antel Uruguay, Telecom Argentina",False,False,False,False
biznet-nusantara-cable-system-1-bncs-1,Biznet Nusantara Cable System-1 (BNCS-1),2024.0,In service,105 km,telco_consortium,,Biznet,False,False,False,False
bodo-rost-cable,Bodo-Rost Cable,2016.0,In service,109 km,telco_consortium,,Telenor,False,False,False,False
boracay-palawan-submarine-cable-system-bpscs,Boracay-Palawan Submarine Cable System (BPSCS),2013.0,In service,332 km,telco_consortium,,Globe Telecom,False,False,False,False
botnia,Botnia,1994.0,In service,93 km,telco_consortium,,Arelion,False,False,False,False
brazilian-festoon,Brazilian Festoon,1996.0,In service,"2,552 km",telco_consortium,,Embratel,False,False,False,False
c-lion1,C-Lion1,2016.0,In service,"1,172 km",telco_consortium,,Cinia Oy,False,False,False,False
cadmos,CADMOS,1995.0,In service,230 km,telco_consortium,,"A1 Telekom Austria, AT&T, Cyta, Deutsche Telekom, Lebanese Ministry of Telecommunications, Orange, Sparkle, Syrian Telecommunications Establishment, Tata Communications",False,False,False,False
cadmos-2,CADMOS-2,2026.0,Planned,250 km,telco_consortium,,"Cyta, Lebanese Ministry of Telecommunications",False,False,False,False
cam-ring,CAM Ring,2003.0,In service,"1,120 km",telco_consortium,,Altice Portugal,False,False,False,False
candalta,CANDALTA,1999.0,In service,110 km,telco_consortium,,Telefonica,False,False,False,False
cantat-3,CANTAT-3,1994.0,In service,270 km,telco_consortium,,Shefa,False,False,False,False
cat-submarine-network-csn,CAT Submarine Network (CSN),2013.0,In service,"1,240 km",telco_consortium,,National Telecom,False,False,False,False
celia,CELIA,2027.0,Planned,"3,700 km",telco_consortium,,"APUA, Orange, SETAR, Telxius",False,False,False,False
chi,CHI,2001.0,In service,"3,932 km",telco_consortium,,"Hawaiian Telcom, Verizon",False,False,False,False
cobracable,COBRAcable,2019.0,In service,304 km,telco_consortium,,Relined,False,False,False,False
cogim,COGIM,2005.0,In service,438 km,telco_consortium,,Télébec,False,False,False,False
cabo-verde-telecom-domestic-submarine-cable-phase-1,Cabo Verde Telecom Domestic Submarine Cable Phase 1,1997.0,In service,,telco_consortium,,Cabo Verde Telecom (CVT),False,False,False,False
cabo-verde-telecom-domestic-submarine-cable-phase-2,Cabo Verde Telecom Domestic Submarine Cable Phase 2,2002.0,In service,,telco_consortium,,Cabo Verde Telecom (CVT),False,False,False,False
cabo-verde-telecom-domestic-submarine-cable-phase-3,Cabo Verde Telecom Domestic Submarine Cable Phase 3,2011.0,In service,,telco_consortium,,Cabo Verde Telecom (CVT),False,False,False,False
calvi-st-florent,Calvi-St. Florent,1997.0,In service,64 km,telco_consortium,,Orange,False,False,False,False
canalink,Canalink,2011.0,In service,"1,835 km",telco_consortium,,IT3,False,False,False,False
caribbean-regional-communications-infrastructure-program-carcip,Caribbean Regional Communications Infrastructure Program (CARCIP),2019.0,In service,225 km,telco_consortium,,Digicel,False,False,False,False
caribbean-bermuda-u-s-cbus,Caribbean-Bermuda U.S. (CBUS),2009.0,In service,"1,700 km",telco_consortium,,"Liberty Networks, Orange",False,False,False,False
carnival-submarine-network-1-csn-1,Carnival Submarine Network-1 (CSN-1),2026.0,Planned,"4,670 km",telco_consortium,,Telconet,False,False,False,False
caucasus-cable-system,Caucasus Cable System,2008.0,In service,"1,200 km",telco_consortium,,Caucasus Online,False,False,False,False
cayman-jamaica-fiber-system-cjfs,Cayman-Jamaica Fiber System (CJFS),1997.0,In service,"1,197 km",telco_consortium,,"CW Cayman, CW Jamaica",False,False,False,False
ceiba-1,Ceiba-1,2011.0,In service,287 km,telco_consortium,,GITGE (Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial),False,False,False,False
ceiba-2,Ceiba-2,2017.0,In service,290 km,telco_consortium,,GITGE (Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial),False,False,False,False
celtixconnect-1-cc-1,CeltixConnect-1 (CC-1),2012.0,In service,131 km,telco_consortium,,EXA Infrastructure,False,False,False,False
challenger-one-bermuda,Challenger One Bermuda,2024.0,In service,,telco_consortium,,ATN International,False,False,False,False
channel-islands-9-liberty-submarine-cable,Channel Islands-9 Liberty Submarine Cable,2008.0,In service,,telco_consortium,,JTGlobal,False,False,False,False
chennai-andaman-nicobar-islands-cable-cani,Chennai-Andaman & Nicobar Islands Cable (CANI),2020.0,In service,"2,300 km",telco_consortium,,Bharat Sanchar Nigam Ltd. (BSNL),False,False,False,False
chuuk-pohnpei-cable,Chuuk-Pohnpei Cable,2019.0,In service,"1,200 km",telco_consortium,,Federated States of Micronesia Telecommunications Cable Corporation (FSMTCC),False,False,False,False
circe-north,Circe North,1999.0,In service,203 km,telco_consortium,,"Zayo, euNetworks",False,False,False,False
circe-south,Circe South,1999.0,In service,115 km,telco_consortium,,"Zayo, euNetworks",False,False,False,False
colombia-florida-express-cfx-1,Colombia-Florida Express (CFX-1),2008.0,In service,"2,438 km",telco_consortium,,Liberty Networks,False,False,False,False
columbus-ii-b,Columbus-II b,1994.0,In service,"2,068 km",telco_consortium,,"AT&T, SETAR",False,False,False,False
columbus-iii-azores-portugal,Columbus-III Azores-Portugal,1999.0,In service,,telco_consortium,,Altice Portugal,False,False,False,False
comoros-domestic-cable-system,Comoros Domestic Cable System,2010.0,In service,,telco_consortium,,Comores Telecom,False,False,False,False
concerto,Concerto,1999.0,In service,550 km,telco_consortium,,EXA Infrastructure,False,False,False,False
connected-coast,Connected Coast,2024.0,In service,,telco_consortium,,Connected Coast Network Partnership,False,False,False,False
continente-madeira,Continente-Madeira,2000.0,In service,"1,179 km",telco_consortium,,Altice Portugal,False,False,False,False
converge-domestic-submarine-cable-network-cdscn,Converge Domestic Submarine Cable Network (CDSCN),2021.0,In service,"1,300 km",telco_consortium,,Converge ICT,False,False,False,False
cook-strait,Cook Strait,2020.0,In service,40 km,telco_consortium,,Transpower NZ,False,False,False,False
coral-bridge,Coral Bridge,2025.0,In service,,telco_consortium,,"NaiTel, Telecom Egypt",False,False,False,False
coral-sea-cable-system-cs,Coral Sea Cable System (CS²),2020.0,In service,"4,700 km",telco_consortium,,"PNG DataCo Limited, Solomon Island Submarine Cable Company",False,False,False,False
corse-continent-4-cc4,Corse-Continent 4 (CC4),1992.0,In service,190 km,telco_consortium,,Orange,False,False,False,False
corse-continent-5-cc5,Corse-Continent 5 (CC5),1995.0,In service,299 km,telco_consortium,,Orange,False,False,False,False
cowes-fawley-2,Cowes-Fawley 2,2018.0,In service,,telco_consortium,,BT,False,False,False,False
cross-sound-cable,Cross Sound Cable,2003.0,In service,40 km,telco_consortium,,Cross Sound Cable Company,False,False,False,False
cross-straits-cable-network-cscn,Cross-Straits Cable Network (CSCN),2012.0,In service,21 km,telco_consortium,,"China Mobile, China Telecom, China Unicom, Chunghwa Telecom",False,False,False,False
crosschannel-fibre,CrossChannel Fibre,2021.0,In service,149 km,telco_consortium,,Crosslake Fibre,False,False,False,False
crosslake-fibre,Crosslake Fibre,2019.0,In service,59 km,telco_consortium,,Crosslake Fibre,False,False,False,False
cyclades-a,Cyclades A,2018.0,In service,222 km,telco_consortium,,Grid Telecom,False,False,False,False
cyclades-b,Cyclades B,2020.0,In service,52 km,telco_consortium,,Grid Telecom,False,False,False,False
damai-cable-system,DAMAI Cable System,2019.0,In service,575 km,telco_consortium,,Triasmitra,False,False,False,False
