site_ID,site_name,latitude_numeric,longitude_numeric,blurred_coordinates,topography_m,freshwater_depth_m,realm_1,realm_2,biome_1,biome_2,functional_group_1,functional_group_2,contributor_comments
12107,B363T7_150m,-3.320388713,-54.96078667,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12108,B363T7_300m,-3.321,-54.961,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12109,B363T8_0m,-3.328,-54.973,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12110,B363T8_150m,-3.329427846,-54.972832,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12111,B363T8_300m,-3.33,-54.973,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12112,B399T10_150m,-3.464769258,-54.80773328,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12113,B399T7_0m,-3.429,-54.843,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12114,B399T7_150m,-3.429818271,-54.84300688,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12115,B399T7_300m,-3.431,-54.843,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12116,B399T8_150m,-3.482325347,-54.86244764,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12117,B69T11_0m,-2.573,-54.761,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12118,B69T11_150m,-2.574005263,-54.67126276,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12119,B69T11_300m,-2.755,-54.761,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12120,B69T8_150m,-2.51494741,-54.67534143,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12121,BEXTRA2_150m,-2.938650973,-54.98850334,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12122,BEXTRA3_150m,-2.92874018,-55.00287377,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12123,BEXTRAT2_0m,-2.938,-54.989,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12124,BEXTRAT2_300m,-2.94,-54.989,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12125,BEXTRAT3_0m,-2.928,-55.003,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12126,BEXTRAT3_300m,-2.93,-55.003,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12127,B112T12_0m,-2.692,-54.452,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12128,B112T12_150m,-2.693086396,-54.45199256,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12129,B112T12_300m,-2.694,-54.452,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12130,B112T8_0m,-2.693,-54.496,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
12131,B112T8_150m,-2.693602658,-54.49587032,FALSE,,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",""
