collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
470,Petrel's nests Antarctica,https://ecosound-web.de/ecosound_web/collection/show/470,"Louise Emmerson,Marcus Salton","",2023-02-17,none,none,none,Terrestrial,air,"Davis Station, Antarctica",at Wilson's storm petrel nests,none,Scheduled 1hr on 1hr off recordings to assess utility of SM4 (wildlife aucoustic) units for detecting petrel calls in the Antarctic environment
474,EcoPestSupression,https://ecosound-web.de/ecosound_web/collection/show/474,Ana Rainho,"",2023-02-06,none,https://www.riceguardians.com,none,Terrestrial,air,"Oio, Guinea Bissau","",none,"Several schedules, using Audiomoth and SM4 automatic recorders to sample bat and bird activity in rice fields."
499,"Underwater Cairngorms, Scotland",https://ecosound-web.de/ecosound_web/collection/show/499,David de la Haye,"",2023-02-14,none,https://underwater-cairngorms.com/,none,Freshwater,water,Cairngorms National Park,"",none,"Stereo hydrophone recording, approx. 0.5m deep. Zoom F8 recorder left unattended for recording period of 25mins"
163,"Urban Soundscape of Jambi, Indonesia",https://ecosound-web.de/ecosound_web/collection/show/163,Patrick Mauritz Diaz,Kevin FA Darras,2023-02-26,none,none,none,Terrestrial,air,"Jambi city, Sumatra, Indonesia","","",""
191,Parque Nacional Calilegua Soundscapes,https://ecosound-web.de/ecosound_web/collection/show/191,Martin Boullhesen,"Mauricio Akmentins,Renata Sousa-Lima",2023-03-10,none,none,10.1016/j.rsase.2022,Terrestrial,air,Parque Nacional Calilegua (Argentina),"","",Passive acoustic monitoring from 2017 to 2018 with 1 SM4 wildlifeacoustics recorders
471,Parque Nacional Aconquija Soundscapes,https://ecosound-web.de/ecosound_web/collection/show/471,Martin Boullhesen,"Mauricio Akmentins,Renata Sousa-Lima",2023-03-11,none,none,none,Terrestrial,air,Parque Nacional Aconquija,"","",Passive acoustic moniroring from 2019 to 2021 with 2 SM 4 wildlifeacoustics recorders
472,Parque Nacional Baritú Soundscapes,https://ecosound-web.de/ecosound_web/collection/show/472,Martin Boullhesen,"Mauricio Akmentins,Renata Sousa-Lima",2023-03-11,none,none,none,Terrestrial,air,Parque Nacional Baritú,"","",Passive acoustic moniroring from 2018 to 2020 with 1 SM 4 wildlifeacoustics recorders
345,Urban Soundscapes,https://ecosound-web.de/ecosound_web/collection/show/345,Martin Boullhesen,"Marcos Vaira,Renata Sousa-Lima",2023-03-13,none,none,none,Terrestrial,air,San Salvador de Jujuy,"","",Urban Sondscapes using SMmini recorders.
338,Natural Reserve Soundscapes,https://ecosound-web.de/ecosound_web/collection/show/338,Martin Boullhesen,"Mauricio Akmentins,Renata Sousa-Lima",2023-03-13,none,none,10.31017/CdH.2019,Terrestrial,air,"Municipalidad de Palpalá, Jujuy.","","",Natural reserve soundscapes placed near an ephemeral pond using iPod Touch model MC086E.
393,newTree Project,https://ecosound-web.de/ecosound_web/collection/show/393,"Gabriel Marcacci,Alain Jacot",Ambroise N. Zongo,2023-03-29,none,none,none,Terrestrial,air,"Plateau Central, Burkina Faso",Restored and degraded plots of 3ha,"",Project (recording) is still ongoing
412,Eurasian scops owl monitoring Switzerland,https://ecosound-web.de/ecosound_web/collection/show/412,"Jean-Nicolas Pradervand,Alain Jacot","",2023-04-10,none,none,none,Terrestrial,air,"Valais, Switzerland",Extensive agricultural landscape and forest,none,Song phenology
413,Eurasian nightjar monitoring Switzerland,https://ecosound-web.de/ecosound_web/collection/show/413,"Jean-Nicolas Pradervand,Alain Jacot","",2023-04-10,none,none,none,Terrestrial,air,"Valais, Switzerland",Extensive agricultural landscape and forest,none,Song phenology
414,Birds from Danube Delta reed beds,https://ecosound-web.de/ecosound_web/collection/show/414,Emanuel Stefan Baltag,"",2023-04-11,none,none,none,Freshwater,air,"Danube Delta, Romania",Wetlands with large reedbeds,none,Bird distribution in the largest reedbads of the world
